chromosome,arm,gene_id_a,gene_id_b,orf_id_a,orf_id_b,gene_name_a,gene_name_b,distance
1,left,S000002143,S000002143,YAL069W,YAL069W,YAL069W,YAL069W,0
1,left,S000002143,S000028594,YAL069W,YAL068W-A,YAL069W,YAL068W-A,0
1,left,S000002143,S000002142,YAL069W,YAL068C,YAL069W,PAU8,1158
1,left,S000002143,S000028593,YAL069W,YAL067W-A,YAL069W,YAL067W-A,1831
1,left,S000002143,S000000062,YAL069W,YAL067C,YAL069W,SEO1,6586
1,left,S000002143,S000000061,YAL069W,YAL066W,YAL069W,YAL066W,9442
1,left,S000002143,S000001817,YAL069W,YAL065C,YAL069W,YAL065C,10916
1,left,S000002143,S000002141,YAL069W,YAL064W-B,YAL069W,YAL064W-B,11397
1,left,S000002143,S000002140,YAL069W,YAL064C-A,YAL069W,TDA8,12714
1,left,S000002143,S000000060,YAL069W,YAL064W,YAL069W,YAL064W,20917
1,left,S000002143,S000028813,YAL069W,YAL063C-A,YAL069W,YAL063C-A,21746
1,left,S000002143,S000000059,YAL069W,YAL063C,YAL069W,FLO9,23351
1,left,S000002143,S000000058,YAL069W,YAL062W,YAL069W,GDH3,30918
1,left,S000002143,S000000057,YAL069W,YAL061W,YAL069W,BDH2,32799
1,left,S000002143,S000000056,YAL069W,YAL060W,YAL069W,BDH1,34506
1,left,S000002143,S000000055,YAL069W,YAL059W,YAL069W,ECM1,35860
1,left,S000002143,S000028734,YAL069W,YAL059C-A,YAL069W,YAL059C-A,35847
1,left,S000002143,S000000054,YAL069W,YAL058W,YAL069W,CNE1,36815
1,left,S000002143,S000002139,YAL069W,YAL056C-A,YAL069W,YAL056C-A,38047
1,left,S000002143,S000000052,YAL069W,YAL056W,YAL069W,GPB2,38610
1,left,S000002143,S000000051,YAL069W,YAL055W,YAL069W,PEX22,41528
1,left,S000002143,S000000050,YAL069W,YAL054C,YAL069W,ACS1,42232
1,left,S000002143,S000000049,YAL069W,YAL053W,YAL069W,FLC2,45250
1,left,S000002143,S000000048,YAL069W,YAL051W,YAL069W,OAF1,47915
1,left,S000002143,S000000047,YAL069W,YAL049C,YAL069W,AIM2,51206
1,left,S000002143,S000028733,YAL069W,YAL047W-A,YAL069W,YAL047W-A,53935
1,left,S000002143,S000000046,YAL069W,YAL048C,YAL069W,GEM1,52152
1,left,S000002143,S000000045,YAL069W,YAL047C,YAL069W,SPC72,54340
1,left,S000002143,S000000044,YAL069W,YAL046C,YAL069W,AIM1,56380
1,left,S000002143,S000007586,YAL069W,YAL044W-A,YAL069W,YAL044W-A,56869
1,left,S000002143,S000000043,YAL069W,YAL045C,YAL069W,YAL045C,56839
1,left,S000002143,S000000042,YAL069W,YAL044C,YAL069W,GCV3,57301
1,left,S000002143,S000000041,YAL069W,YAL043C,YAL069W,PTA1,58046
1,left,S000002143,S000000040,YAL069W,YAL042W,YAL069W,ERV46,60667
1,left,S000002143,S000002138,YAL069W,YAL042C-A,YAL069W,YAL042C-A,60582
1,left,S000002143,S000000039,YAL069W,YAL041W,YAL069W,CDC24,62191
1,left,S000002143,S000000038,YAL069W,YAL040C,YAL069W,CLN3,65129
1,left,S000002143,S000000037,YAL069W,YAL039C,YAL069W,CYC3,68067
1,left,S000002143,S000000036,YAL069W,YAL038W,YAL069W,CDC19,71137
1,left,S000002143,S000028592,YAL069W,YAL037C-B,YAL069W,YAL037C-B,71677
1,left,S000002143,S000028732,YAL069W,YAL037C-A,YAL069W,YAL037C-A,72777
1,left,S000002143,S000000035,YAL069W,YAL037W,YAL069W,YAL037W,73371
1,left,S000002143,S000000034,YAL069W,YAL036C,YAL069W,RBG1,74394
1,left,S000002143,S000000033,YAL069W,YAL035W,YAL069W,FUN12,75778
1,left,S000002143,S000000032,YAL069W,YAL034W-A,YAL069W,MTW1,79069
1,left,S000002143,S000002137,YAL069W,YAL034C-B,YAL069W,YAL034C-B,78840
1,left,S000002143,S000002134,YAL069W,YAL034C,YAL069W,FUN19,80061
1,left,S000002143,S000000031,YAL069W,YAL033W,YAL069W,POP5,82057
1,left,S000002143,S000000030,YAL069W,YAL032C,YAL069W,PRP45,82686
1,left,S000002143,S000028731,YAL069W,YAL031W-A,YAL069W,YAL031W-A,84020
1,left,S000002143,S000000029,YAL069W,YAL031C,YAL069W,GIP4,84100
1,left,S000002143,S000000028,YAL069W,YAL030W,YAL069W,SNC1,86637
1,left,S000002143,S000000027,YAL069W,YAL029C,YAL069W,MYO4,87206
1,left,S000002143,S000000026,YAL069W,YAL028W,YAL069W,FRT2,92251
1,left,S000002143,S000000025,YAL069W,YAL027W,YAL069W,SAW1,94038
1,left,S000002143,S000028730,YAL069W,YAL026C-A,YAL069W,YAL026C-A,94737
1,left,S000002143,S000000024,YAL069W,YAL026C,YAL069W,DRS2,94981
1,left,S000002143,S000000023,YAL069W,YAL025C,YAL069W,MAK16,99576
1,left,S000002143,S000000022,YAL069W,YAL024C,YAL069W,LTE1,100916
1,left,S000002143,S000000021,YAL069W,YAL023C,YAL069W,PMT2,105623
1,left,S000002143,S000000020,YAL069W,YAL022C,YAL069W,FUN26,108228
1,left,S000002143,S000000019,YAL069W,YAL021C,YAL069W,CCR4,110197
1,left,S000002143,S000028729,YAL069W,YAL019W-A,YAL069W,YAL019W-A,113601
1,left,S000002143,S000000018,YAL069W,YAL020C,YAL069W,ATS1,112965
1,left,S000002143,S000000017,YAL069W,YAL019W,YAL069W,FUN30,114270
1,left,S000002143,S000000016,YAL069W,YAL018C,YAL069W,LDS1,117915
1,left,S000002143,S000000015,YAL069W,YAL017W,YAL069W,PSK1,119576
1,left,S000002143,S000028528,YAL069W,YAL016C-B,YAL069W,YAL016C-B,123658
1,left,S000002143,S000000014,YAL069W,YAL016W,YAL069W,TPD3,124230
1,left,S000002143,S000028728,YAL069W,YAL016C-A,YAL069W,YAL016C-A,124106
1,left,S000002143,S000000013,YAL069W,YAL015C,YAL069W,NTG1,126254
1,left,S000002143,S000000012,YAL069W,YAL014C,YAL069W,SYN8,127603
1,left,S000002143,S000000011,YAL069W,YAL013W,YAL069W,DEP1,128621
1,left,S000002143,S000000010,YAL069W,YAL012W,YAL069W,CYS3,130150
1,left,S000002143,S000000009,YAL069W,YAL011W,YAL069W,SWC3,131550
1,left,S000002143,S000000008,YAL069W,YAL010C,YAL069W,MDM10,133535
1,left,S000002143,S000000007,YAL069W,YAL009W,YAL069W,SPO7,135205
1,left,S000002143,S000000006,YAL069W,YAL008W,YAL069W,FUN14,136265
1,left,S000002143,S000000005,YAL069W,YAL007C,YAL069W,ERP2,137049
1,left,S000002143,S000002136,YAL069W,YAL004W,YAL069W,YAL004W,140111
1,left,S000002143,S000000004,YAL069W,YAL005C,YAL069W,SSA1,138854
1,left,S000002143,S000000003,YAL069W,YAL003W,YAL069W,EFB1,141525
1,left,S000002143,S000000002,YAL069W,YAL002W,YAL069W,VPS8,143058
1,left,S000002143,S000000001,YAL069W,YAL001C,YAL069W,TFC3,146945
1,left,S000028594,S000002143,YAL068W-A,YAL069W,YAL068W-A,YAL069W,0
1,left,S000028594,S000028594,YAL068W-A,YAL068W-A,YAL068W-A,YAL068W-A,0
1,left,S000028594,S000002142,YAL068W-A,YAL068C,YAL068W-A,PAU8,1015
1,left,S000028594,S000028593,YAL068W-A,YAL067W-A,YAL068W-A,YAL067W-A,1688
1,left,S000028594,S000000062,YAL068W-A,YAL067C,YAL068W-A,SEO1,6443
1,left,S000028594,S000000061,YAL068W-A,YAL066W,YAL068W-A,YAL066W,9299
1,left,S000028594,S000001817,YAL068W-A,YAL065C,YAL068W-A,YAL065C,10773
1,left,S000028594,S000002141,YAL068W-A,YAL064W-B,YAL068W-A,YAL064W-B,11254
1,left,S000028594,S000002140,YAL068W-A,YAL064C-A,YAL068W-A,TDA8,12571
1,left,S000028594,S000000060,YAL068W-A,YAL064W,YAL068W-A,YAL064W,20774
1,left,S000028594,S000028813,YAL068W-A,YAL063C-A,YAL068W-A,YAL063C-A,21603
1,left,S000028594,S000000059,YAL068W-A,YAL063C,YAL068W-A,FLO9,23208
1,left,S000028594,S000000058,YAL068W-A,YAL062W,YAL068W-A,GDH3,30775
1,left,S000028594,S000000057,YAL068W-A,YAL061W,YAL068W-A,BDH2,32656
1,left,S000028594,S000000056,YAL068W-A,YAL060W,YAL068W-A,BDH1,34363
1,left,S000028594,S000000055,YAL068W-A,YAL059W,YAL068W-A,ECM1,35717
1,left,S000028594,S000028734,YAL068W-A,YAL059C-A,YAL068W-A,YAL059C-A,35704
1,left,S000028594,S000000054,YAL068W-A,YAL058W,YAL068W-A,CNE1,36672
1,left,S000028594,S000002139,YAL068W-A,YAL056C-A,YAL068W-A,YAL056C-A,37904
1,left,S000028594,S000000052,YAL068W-A,YAL056W,YAL068W-A,GPB2,38467
1,left,S000028594,S000000051,YAL068W-A,YAL055W,YAL068W-A,PEX22,41385
1,left,S000028594,S000000050,YAL068W-A,YAL054C,YAL068W-A,ACS1,42089
1,left,S000028594,S000000049,YAL068W-A,YAL053W,YAL068W-A,FLC2,45107
1,left,S000028594,S000000048,YAL068W-A,YAL051W,YAL068W-A,OAF1,47772
1,left,S000028594,S000000047,YAL068W-A,YAL049C,YAL068W-A,AIM2,51063
1,left,S000028594,S000028733,YAL068W-A,YAL047W-A,YAL068W-A,YAL047W-A,53792
1,left,S000028594,S000000046,YAL068W-A,YAL048C,YAL068W-A,GEM1,52009
1,left,S000028594,S000000045,YAL068W-A,YAL047C,YAL068W-A,SPC72,54197
1,left,S000028594,S000000044,YAL068W-A,YAL046C,YAL068W-A,AIM1,56237
1,left,S000028594,S000007586,YAL068W-A,YAL044W-A,YAL068W-A,YAL044W-A,56726
1,left,S000028594,S000000043,YAL068W-A,YAL045C,YAL068W-A,YAL045C,56696
1,left,S000028594,S000000042,YAL068W-A,YAL044C,YAL068W-A,GCV3,57158
1,left,S000028594,S000000041,YAL068W-A,YAL043C,YAL068W-A,PTA1,57903
1,left,S000028594,S000000040,YAL068W-A,YAL042W,YAL068W-A,ERV46,60524
1,left,S000028594,S000002138,YAL068W-A,YAL042C-A,YAL068W-A,YAL042C-A,60439
1,left,S000028594,S000000039,YAL068W-A,YAL041W,YAL068W-A,CDC24,62048
1,left,S000028594,S000000038,YAL068W-A,YAL040C,YAL068W-A,CLN3,64986
1,left,S000028594,S000000037,YAL068W-A,YAL039C,YAL068W-A,CYC3,67924
1,left,S000028594,S000000036,YAL068W-A,YAL038W,YAL068W-A,CDC19,70994
1,left,S000028594,S000028592,YAL068W-A,YAL037C-B,YAL068W-A,YAL037C-B,71534
1,left,S000028594,S000028732,YAL068W-A,YAL037C-A,YAL068W-A,YAL037C-A,72634
1,left,S000028594,S000000035,YAL068W-A,YAL037W,YAL068W-A,YAL037W,73228
1,left,S000028594,S000000034,YAL068W-A,YAL036C,YAL068W-A,RBG1,74251
1,left,S000028594,S000000033,YAL068W-A,YAL035W,YAL068W-A,FUN12,75635
1,left,S000028594,S000000032,YAL068W-A,YAL034W-A,YAL068W-A,MTW1,78926
1,left,S000028594,S000002137,YAL068W-A,YAL034C-B,YAL068W-A,YAL034C-B,78697
1,left,S000028594,S000002134,YAL068W-A,YAL034C,YAL068W-A,FUN19,79918
1,left,S000028594,S000000031,YAL068W-A,YAL033W,YAL068W-A,POP5,81914
1,left,S000028594,S000000030,YAL068W-A,YAL032C,YAL068W-A,PRP45,82543
1,left,S000028594,S000028731,YAL068W-A,YAL031W-A,YAL068W-A,YAL031W-A,83877
1,left,S000028594,S000000029,YAL068W-A,YAL031C,YAL068W-A,GIP4,83957
1,left,S000028594,S000000028,YAL068W-A,YAL030W,YAL068W-A,SNC1,86494
1,left,S000028594,S000000027,YAL068W-A,YAL029C,YAL068W-A,MYO4,87063
1,left,S000028594,S000000026,YAL068W-A,YAL028W,YAL068W-A,FRT2,92108
1,left,S000028594,S000000025,YAL068W-A,YAL027W,YAL068W-A,SAW1,93895
1,left,S000028594,S000028730,YAL068W-A,YAL026C-A,YAL068W-A,YAL026C-A,94594
1,left,S000028594,S000000024,YAL068W-A,YAL026C,YAL068W-A,DRS2,94838
1,left,S000028594,S000000023,YAL068W-A,YAL025C,YAL068W-A,MAK16,99433
1,left,S000028594,S000000022,YAL068W-A,YAL024C,YAL068W-A,LTE1,100773
1,left,S000028594,S000000021,YAL068W-A,YAL023C,YAL068W-A,PMT2,105480
1,left,S000028594,S000000020,YAL068W-A,YAL022C,YAL068W-A,FUN26,108085
1,left,S000028594,S000000019,YAL068W-A,YAL021C,YAL068W-A,CCR4,110054
1,left,S000028594,S000028729,YAL068W-A,YAL019W-A,YAL068W-A,YAL019W-A,113458
1,left,S000028594,S000000018,YAL068W-A,YAL020C,YAL068W-A,ATS1,112822
1,left,S000028594,S000000017,YAL068W-A,YAL019W,YAL068W-A,FUN30,114127
1,left,S000028594,S000000016,YAL068W-A,YAL018C,YAL068W-A,LDS1,117772
1,left,S000028594,S000000015,YAL068W-A,YAL017W,YAL068W-A,PSK1,119433
1,left,S000028594,S000028528,YAL068W-A,YAL016C-B,YAL068W-A,YAL016C-B,123515
1,left,S000028594,S000000014,YAL068W-A,YAL016W,YAL068W-A,TPD3,124087
1,left,S000028594,S000028728,YAL068W-A,YAL016C-A,YAL068W-A,YAL016C-A,123963
1,left,S000028594,S000000013,YAL068W-A,YAL015C,YAL068W-A,NTG1,126111
1,left,S000028594,S000000012,YAL068W-A,YAL014C,YAL068W-A,SYN8,127460
1,left,S000028594,S000000011,YAL068W-A,YAL013W,YAL068W-A,DEP1,128478
1,left,S000028594,S000000010,YAL068W-A,YAL012W,YAL068W-A,CYS3,130007
1,left,S000028594,S000000009,YAL068W-A,YAL011W,YAL068W-A,SWC3,131407
1,left,S000028594,S000000008,YAL068W-A,YAL010C,YAL068W-A,MDM10,133392
1,left,S000028594,S000000007,YAL068W-A,YAL009W,YAL068W-A,SPO7,135062
1,left,S000028594,S000000006,YAL068W-A,YAL008W,YAL068W-A,FUN14,136122
1,left,S000028594,S000000005,YAL068W-A,YAL007C,YAL068W-A,ERP2,136906
1,left,S000028594,S000002136,YAL068W-A,YAL004W,YAL068W-A,YAL004W,139968
1,left,S000028594,S000000004,YAL068W-A,YAL005C,YAL068W-A,SSA1,138711
1,left,S000028594,S000000003,YAL068W-A,YAL003W,YAL068W-A,EFB1,141382
1,left,S000028594,S000000002,YAL068W-A,YAL002W,YAL068W-A,VPS8,142915
1,left,S000028594,S000000001,YAL068W-A,YAL001C,YAL068W-A,TFC3,146802
1,left,S000002142,S000002143,YAL068C,YAL069W,PAU8,YAL069W,1158
1,left,S000002142,S000028594,YAL068C,YAL068W-A,PAU8,YAL068W-A,1015
1,left,S000002142,S000002142,YAL068C,YAL068C,PAU8,PAU8,0
1,left,S000002142,S000028593,YAL068C,YAL067W-A,PAU8,YAL067W-A,311
1,left,S000002142,S000000062,YAL068C,YAL067C,PAU8,SEO1,5066
1,left,S000002142,S000000061,YAL068C,YAL066W,PAU8,YAL066W,7922
1,left,S000002142,S000001817,YAL068C,YAL065C,PAU8,YAL065C,9396
1,left,S000002142,S000002141,YAL068C,YAL064W-B,PAU8,YAL064W-B,9877
1,left,S000002142,S000002140,YAL068C,YAL064C-A,PAU8,TDA8,11194
1,left,S000002142,S000000060,YAL068C,YAL064W,PAU8,YAL064W,19397
1,left,S000002142,S000028813,YAL068C,YAL063C-A,PAU8,YAL063C-A,20226
1,left,S000002142,S000000059,YAL068C,YAL063C,PAU8,FLO9,21831
1,left,S000002142,S000000058,YAL068C,YAL062W,PAU8,GDH3,29398
1,left,S000002142,S000000057,YAL068C,YAL061W,PAU8,BDH2,31279
1,left,S000002142,S000000056,YAL068C,YAL060W,PAU8,BDH1,32986
1,left,S000002142,S000000055,YAL068C,YAL059W,PAU8,ECM1,34340
1,left,S000002142,S000028734,YAL068C,YAL059C-A,PAU8,YAL059C-A,34327
1,left,S000002142,S000000054,YAL068C,YAL058W,PAU8,CNE1,35295
1,left,S000002142,S000002139,YAL068C,YAL056C-A,PAU8,YAL056C-A,36527
1,left,S000002142,S000000052,YAL068C,YAL056W,PAU8,GPB2,37090
1,left,S000002142,S000000051,YAL068C,YAL055W,PAU8,PEX22,40008
1,left,S000002142,S000000050,YAL068C,YAL054C,PAU8,ACS1,40712
1,left,S000002142,S000000049,YAL068C,YAL053W,PAU8,FLC2,43730
1,left,S000002142,S000000048,YAL068C,YAL051W,PAU8,OAF1,46395
1,left,S000002142,S000000047,YAL068C,YAL049C,PAU8,AIM2,49686
1,left,S000002142,S000028733,YAL068C,YAL047W-A,PAU8,YAL047W-A,52415
1,left,S000002142,S000000046,YAL068C,YAL048C,PAU8,GEM1,50632
1,left,S000002142,S000000045,YAL068C,YAL047C,PAU8,SPC72,52820
1,left,S000002142,S000000044,YAL068C,YAL046C,PAU8,AIM1,54860
1,left,S000002142,S000007586,YAL068C,YAL044W-A,PAU8,YAL044W-A,55349
1,left,S000002142,S000000043,YAL068C,YAL045C,PAU8,YAL045C,55319
1,left,S000002142,S000000042,YAL068C,YAL044C,PAU8,GCV3,55781
1,left,S000002142,S000000041,YAL068C,YAL043C,PAU8,PTA1,56526
1,left,S000002142,S000000040,YAL068C,YAL042W,PAU8,ERV46,59147
1,left,S000002142,S000002138,YAL068C,YAL042C-A,PAU8,YAL042C-A,59062
1,left,S000002142,S000000039,YAL068C,YAL041W,PAU8,CDC24,60671
1,left,S000002142,S000000038,YAL068C,YAL040C,PAU8,CLN3,63609
1,left,S000002142,S000000037,YAL068C,YAL039C,PAU8,CYC3,66547
1,left,S000002142,S000000036,YAL068C,YAL038W,PAU8,CDC19,69617
1,left,S000002142,S000028592,YAL068C,YAL037C-B,PAU8,YAL037C-B,70157
1,left,S000002142,S000028732,YAL068C,YAL037C-A,PAU8,YAL037C-A,71257
1,left,S000002142,S000000035,YAL068C,YAL037W,PAU8,YAL037W,71851
1,left,S000002142,S000000034,YAL068C,YAL036C,PAU8,RBG1,72874
